date,symbol,close_price
10/10/2024,BTC,"60,316.20"
10/9/2024,BTC,"60,628.80"
10/8/2024,BTC,"62,157.00"
10/7/2024,BTC,"62,245.60"
10/6/2024,BTC,"62,819.40"
10/5/2024,BTC,"62,061.40"
10/4/2024,BTC,"62,081.00"
10/3/2024,BTC,"60,751.20"
10/2/2024,BTC,"60,645.70"
10/1/2024,BTC,"60,835.50"
09/30/2024,BTC,"63,339.20"
09/29/2024,BTC,"65,607.10"
09/28/2024,BTC,"65,866.50"
09/27/2024,BTC,"65,776.30"
09/26/2024,BTC,"65,175.70"
09/25/2024,BTC,"63,156.50"
09/24/2024,BTC,"64,256.80"
09/23/2024,BTC,"63,331.80"
09/22/2024,BTC,"63,572.70"
09/21/2024,BTC,"63,348.10"
09/20/2024,BTC,"63,201.20"
09/19/2024,BTC,"62,938.60"
09/18/2024,BTC,"61,757.60"
09/17/2024,BTC,"60,309.10"
09/16/2024,BTC,"58,213.10"
09/15/2024,BTC,"59,138.50"
09/14/2024,BTC,"59,995.40"
09/13/2024,BTC,"60,511.60"
9/12/2024,BTC,"58,134.50"
9/11/2024,BTC,"57,338.70"
9/10/2024,BTC,"57,635.00"
9/9/2024,BTC,"57,049.60"
9/8/2024,BTC,"54,861.30"
9/7/2024,BTC,"54,156.50"
9/6/2024,BTC,"53,966.80"
9/5/2024,BTC,"56,183.20"
9/4/2024,BTC,"57,973.40"
9/3/2024,BTC,"57,479.80"
9/2/2024,BTC,"59,134.00"
9/1/2024,BTC,"57,315.70"
08/31/2024,BTC,"58,978.60"
08/30/2024,BTC,"59,119.70"
08/29/2024,BTC,"59,373.50"
08/28/2024,BTC,"59,016.00"
08/27/2024,BTC,"59,450.90"
08/26/2024,BTC,"62,846.20"
08/25/2024,BTC,"64,273.20"
08/24/2024,BTC,"64,159.30"
08/23/2024,BTC,"64,053.10"
08/22/2024,BTC,"60,372.20"
08/21/2024,BTC,"61,158.10"
08/20/2024,BTC,"59,005.80"
08/19/2024,BTC,"59,470.90"
08/18/2024,BTC,"58,446.30"
08/17/2024,BTC,"59,483.10"
08/16/2024,BTC,"58,877.20"
08/15/2024,BTC,"57,534.60"
08/14/2024,BTC,"58,707.80"
08/13/2024,BTC,"60,595.20"
8/12/2024,BTC,"59,350.00"
8/11/2024,BTC,"58,713.30"
8/10/2024,BTC,"60,931.70"
8/9/2024,BTC,"60,850.60"
8/8/2024,BTC,"61,699.70"
8/7/2024,BTC,"55,120.90"
8/6/2024,BTC,"56,057.80"
8/5/2024,BTC,"53,979.00"
8/4/2024,BTC,"58,141.80"
8/3/2024,BTC,"60,696.70"
8/2/2024,BTC,"61,478.70"
8/1/2024,BTC,"65,372.90"
07/31/2024,BTC,"64,626.00"
07/30/2024,BTC,"66,184.90"
07/29/2024,BTC,"66,798.70"
07/28/2024,BTC,"68,256.30"
07/27/2024,BTC,"67,843.10"
07/26/2024,BTC,"67,908.60"
07/25/2024,BTC,"65,799.30"
07/24/2024,BTC,"65,370.50"
07/23/2024,BTC,"65,937.80"
07/22/2024,BTC,"67,553.60"
07/21/2024,BTC,"68,158.70"
07/20/2024,BTC,"67,148.50"
07/19/2024,BTC,"66,677.40"
07/18/2024,BTC,"63,980.50"
07/17/2024,BTC,"64,089.20"
07/16/2024,BTC,"65,049.70"
07/15/2024,BTC,"64,782.40"
07/14/2024,BTC,"60,794.90"
07/13/2024,BTC,"59,209.80"
7/12/2024,BTC,"57,885.10"
7/11/2024,BTC,"57,337.30"
7/10/2024,BTC,"57,746.70"
7/9/2024,BTC,"58,039.40"
7/8/2024,BTC,"56,724.70"
7/7/2024,BTC,"55,861.10"
7/6/2024,BTC,"58,259.20"
7/5/2024,BTC,"56,641.80"
7/4/2024,BTC,"57,026.30"
7/3/2024,BTC,"60,199.30"
7/2/2024,BTC,"62,103.30"
7/1/2024,BTC,"62,890.10"
06/30/2024,BTC,"62,754.30"
06/29/2024,BTC,"60,973.40"
06/28/2024,BTC,"60,403.30"
06/27/2024,BTC,"61,685.30"
06/26/2024,BTC,"60,849.40"
06/25/2024,BTC,"61,809.40"
06/24/2024,BTC,"60,292.70"
06/23/2024,BTC,"63,196.20"
06/22/2024,BTC,"64,261.00"
06/21/2024,BTC,"64,128.50"
06/20/2024,BTC,"64,854.30"
06/19/2024,BTC,"64,980.90"
06/18/2024,BTC,"65,159.90"
06/17/2024,BTC,"66,498.80"
06/16/2024,BTC,"66,674.70"
06/15/2024,BTC,"66,223.00"
06/14/2024,BTC,"66,034.80"
06/13/2024,BTC,"66,773.10"
6/12/2024,BTC,"68,260.10"
6/11/2024,BTC,"67,319.80"
6/10/2024,BTC,"69,538.20"
6/9/2024,BTC,"69,650.60"
6/8/2024,BTC,"69,310.10"
6/7/2024,BTC,"69,347.90"
6/6/2024,BTC,"70,791.50"
6/5/2024,BTC,"71,083.70"
6/4/2024,BTC,"70,549.20"
6/3/2024,BTC,"68,807.80"
6/2/2024,BTC,"67,773.50"
6/1/2024,BTC,"67,760.80"
05/31/2024,BTC,"67,530.10"
05/30/2024,BTC,"68,354.70"
05/29/2024,BTC,"67,635.80"
05/28/2024,BTC,"68,366.00"
05/27/2024,BTC,"69,428.70"
05/26/2024,BTC,"68,514.80"
05/25/2024,BTC,"69,284.40"
05/24/2024,BTC,"68,547.60"
05/23/2024,BTC,"67,975.70"
05/22/2024,BTC,"69,155.40"
05/21/2024,BTC,"70,139.90"
05/20/2024,BTC,"71,422.70"
05/19/2024,BTC,"66,279.10"
05/18/2024,BTC,"66,917.50"
05/17/2024,BTC,"67,036.80"
05/16/2024,BTC,"65,231.00"
05/15/2024,BTC,"66,225.10"
05/14/2024,BTC,"61,569.40"
05/13/2024,BTC,"62,937.20"
5/12/2024,BTC,"61,480.00"
5/11/2024,BTC,"60,826.60"
5/10/2024,BTC,"60,796.90"
5/9/2024,BTC,"63,075.00"
5/8/2024,BTC,"61,207.50"
5/7/2024,BTC,"62,317.70"
5/6/2024,BTC,"63,163.10"
5/5/2024,BTC,"64,006.40"
5/4/2024,BTC,"63,888.30"
5/3/2024,BTC,"62,877.50"
5/2/2024,BTC,"59,121.30"
5/1/2024,BTC,"58,331.20"
04/30/2024,BTC,"60,666.60"
04/29/2024,BTC,"63,860.10"
04/28/2024,BTC,"63,109.70"
04/27/2024,BTC,"63,456.80"
04/26/2024,BTC,"63,766.40"
04/25/2024,BTC,"64,497.10"
04/24/2024,BTC,"64,285.70"
04/23/2024,BTC,"66,415.00"
04/22/2024,BTC,"66,829.30"
04/21/2024,BTC,"64,940.20"
04/20/2024,BTC,"64,961.10"
04/19/2024,BTC,"63,799.10"
04/18/2024,BTC,"63,481.40"
04/17/2024,BTC,"61,278.90"
04/16/2024,BTC,"63,805.30"
04/15/2024,BTC,"63,411.90"
04/14/2024,BTC,"65,697.40"
04/13/2024,BTC,"63,849.90"
4/12/2024,BTC,"67,151.90"
4/11/2024,BTC,"70,011.60"
4/10/2024,BTC,"70,622.10"
4/9/2024,BTC,"69,148.00"
4/8/2024,BTC,"71,630.10"
4/7/2024,BTC,"69,360.40"
4/6/2024,BTC,"68,890.60"
4/5/2024,BTC,"67,830.60"
4/4/2024,BTC,"68,496.50"
4/3/2024,BTC,"65,963.00"
4/2/2024,BTC,"65,439.20"
4/1/2024,BTC,"69,664.40"
03/31/2024,BTC,"71,332.00"
03/30/2024,BTC,"69,611.50"
03/29/2024,BTC,"69,871.70"
03/28/2024,BTC,"70,762.10"
03/27/2024,BTC,"69,442.40"
03/26/2024,BTC,"69,999.30"
03/25/2024,BTC,"69,892.00"
03/24/2024,BTC,"67,211.90"
03/23/2024,BTC,"64,037.80"
03/22/2024,BTC,"63,785.50"
03/21/2024,BTC,"65,503.80"
03/20/2024,BTC,"67,854.00"
03/19/2024,BTC,"62,050.00"
03/18/2024,BTC,"67,594.10"
03/17/2024,BTC,"68,391.20"
03/16/2024,BTC,"65,314.20"
03/15/2024,BTC,"69,463.70"
